year,lizard,order,frequency,rep,date,time,time.class,lat,long,ground,mesohabitat,microhabitat1,microhabitat 2,microhabitat 3 ,behavior,observer,notes,pulseinterval
2018,64,8,151.79,4,10-May,10:42,AM,35.11596,-119.61955,above,open,shrub,shrub,,cooling,steph,,
2018,80,4,150.63,4,10-May,11:14,AM,35.11517,-119.62373,above,shrub,shrub,,,standing,steph,,
2018,91,20,151.37,4,10-May,11:40,AM,35.11763,-119.62437,above,open,mound,burrow,,basking,steph,,
2018,93,19,151.29,4,10-May,12:45,PM,35.12009,-119.62662,below,open,burrow,,,standing,steph,,
2018,99,3,150.609,4,10-May,11:25,AM,35.11506,-119.62512,above,open,mound,burrow,,basking,steph,,
2018,100,1,150.549,4,10-May,12:59,PM,35.11829,-119.62634,below,open,burrow,,,standing,steph,,
2018,130,30,151.969,4,10-May,11:01,AM,35.1196,-119.62126,above,open,mound,burrow,,basking,steph,,
2018,176,12,151.029,4,10-May,11:45,AM,35.1167,-119.63509,above,shrub,shrub,,,standing,mario,,
2018,200,10,150.83,4,10-May,11:16,AM,35.11816,-119.63177,above,open,burrow,,,basking,mario,,
2018,1337,29,151.91,4,10-May,13:09,PM,35.12083,-119.62916,above,shrub,,,,standing,steph,,
2018,12B,16,151.11,4,10-May,12:02,PM,35.11839,-119.62988,above,open,,,,hunting,mario,This one was hunting a grasshopper,
2018,1,21,151.43,5,12-May,10:16,AM,35.126,-119.63694,above,open,,,,basking,mario,,
2018,1,21,151.43,5,12-May,13:50,PM,35.12593,-119.63713,above,open,burrow,,,basking,mario,,
2018,2,26,151.809,5,12-May,10:22,AM,35.12513,-119.6368,above,open,burrow,,,basking,mario,,
2018,2,26,151.809,5,12-May,13:53,PM,35.12593,-119.63647,above,open,burrow,,,basking,mario,,
2018,4,14,151.089,5,12-May,12:33,PM,35.12103,-119.62554,above,open,burrow,,,basking,steph,,
2018,4,14,151.089,5,12-May,15:35,PM,35.12097,-119.62537,above,open,1m from Shrub,,,basking,steph,,
2018,7,23,151.59,5,12-May,12:09,PM,35.11839,-119.62581,above,open,,,,standing,steph,,
2018,7,23,151.59,5,12-May,15:20,PM,35.11798,-119.62533,above,open,,,,standing,steph,,
2018,9,2,150.57,5,12-May,11:29,AM,35.11663,-119.6351,above,open,2M from Shrub,,,basking,mario,,
2018,9,2,150.57,5,12-May,15:04,PM,35.11659,-119.63564,above,shrub,,,,standing,mario,,
2018,11,22,151.47,5,12-May,10:25,AM,35.12404,-119.63538,above,shrub,,,,basking,mario,,
2018,11,22,151.47,5,12-May,13:57,PM,35.12401,-119.63575,above,open,burrow,,,basking,mario,,
2018,12,15,151.11,5,12-May,10:58,AM,35.11867,-119.62897,above,open,burrow,mound,,basking,mario,,
2018,12,15,151.11,5,12-May,14:11,PM,35.11885,-119.6294,above,open,burrow,mound,,basking,mario,,
2018,13,24,151.61,5,12-May,11:32,AM,35.11567,-119.62389,above,open,2M from burrow,,,eating,steph,,
2018,13,24,151.61,5,12-May,14:30,PM,35.11576,-119.6246,above,open,washbank,1M from shrub,,basking,steph,,
2018,19,13,151.049,5,12-May,10:41,AM,35.11989,-119.62867,above,shrub,,,,standing,mario,,
2018,19,13,151.049,5,12-May,14:21,PM,35.11974,-119.62749,above,open,burrow,,,basking,mario,,
2018,20,11,151,5,12-May,10:55,AM,35.11933,-119.62895,below,open,burrow,,,standing,mario,,
2018,20,11,151,5,12-May,14:36,PM,35.11914,-119.6288,below,open,burrow,,,standing,mario,,
2018,22,27,151.83,5,12-May,11:18,AM,35.11762,-119.63287,below,open,burrow,,,standing,mario,22 and 30 were with eachother,
